01-01-2011,
01-01-2011,V(B). Inter Regional Schedule & Actual Exchanges [Import (+ve)/Export (-ve)] [Corridor wise]
01-01-2011,ISGS/LT Schedule (MU)
01-01-2011,ER
01-01-2011,33.60
01-01-2011,
01-01-2011,Total IR Schedule (MU)
01-01-2011,Through ER
02-01-2011,
02-01-2011,V(B). Inter Regional Schedule & Actual Exchanges [Import (+ve)/Export (-ve)] [Corridor wise]
02-01-2011,ISGS/LT Schedule (MU)
02-01-2011,ER
02-01-2011,33.60
02-01-2011,
02-01-2011,Total IR Schedule (MU)
02-01-2011,Through ER
03-01-2011,
03-01-2011,V(B). Inter Regional Schedule & Actual Exchanges [Import (+ve)/Export (-ve)] [Corridor wise]
03-01-2011,ISGS/LT Schedule (MU)
03-01-2011,ER
03-01-2011,33.60
03-01-2011,
03-01-2011,Total IR Schedule (MU)
03-01-2011,Through ER
04-01-2011,
04-01-2011,V(B). Inter Regional Schedule & Actual Exchanges [Import (+ve)/Export (-ve)] [Corridor wise]
04-01-2011,ISGS/LT Schedule (MU)
04-01-2011,ER
04-01-2011,33.60
04-01-2011,
04-01-2011,Total IR Schedule (MU)
04-01-2011,Through ER
05-01-2011,
05-01-2011,V(B). Inter Regional Schedule & Actual Exchanges [Import (+ve)/Export (-ve)] [Corridor wise]
05-01-2011,ISGS/LT Schedule (MU)
05-01-2011,ER
05-01-2011,33.60
05-01-2011,
05-01-2011,Total IR Schedule (MU)
05-01-2011,Through ER
06-01-2011,
06-01-2011,V(B). Inter Regional Schedule & Actual Exchanges [Import (+ve)/Export (-ve)] [Corridor wise]
06-01-2011,ISGS/LT Schedule (MU)
06-01-2011,ER
06-01-2011,33.60
06-01-2011,
06-01-2011,Total IR Schedule (MU)
06-01-2011,Through ER
07-01-2011,
07-01-2011,V(B). Inter Regional Schedule & Actual Exchanges [Import (+ve)/Export (-ve)] [Corridor wise]
07-01-2011,ISGS/LT Schedule (MU)
07-01-2011,ER
07-01-2011,33.60
07-01-2011,
07-01-2011,Total IR Schedule (MU)
07-01-2011,Through ER
08-01-2011,
08-01-2011,V(B). Inter Regional Schedule & Actual Exchanges [Import (+ve)/Export (-ve)] [Corridor wise]
08-01-2011,ISGS/LT Schedule (MU)
08-01-2011,ER
08-01-2011,33.60
08-01-2011,
